สำนักงานคุมประพฤติ,เดือน ต.ค.2564,เดือน พ.ย.2564,เดือน ธ.ค.2564,เดือน ม.ค.2565,เดือน ก.พ.2565,เดือน มี.ค.2565,เดือน เม.ย.2565,เดือน พ.ค.2565,เดือน มิ.ย.2565,เดือน ก.ค.2565,เดือน ส.ค.2565,เดือน ก.ย.2565,year_be,เดือน ต.ค.2565,เดือน พ.ย.2565,เดือน ธ.ค.2565,เดือน ม.ค.2566,เดือน ก.พ.2566,เดือน มี.ค.2566,เดือน เม.ย.2566,เดือน พ.ค.2566,เดือน มิ.ย.2566,เดือน ก.ค.2566,เดือน ส.ค.2566,เดือน ก.ย.2566
สำนักงานคุมประพฤติจังหวัดปราจีนบุรี  สาขากบินทร์บุรี,12.0,28.0,20.0,51.0,34.0,58.0,56.0,56.0,44.0,65.0,82.0,47.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดปัตตานี,32.0,25.0,96.0,154.0,135.0,146.0,103.0,145.0,258.0,141.0,195.0,220.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดพระนครศรีอยุธยา,96.0,142.0,143.0,256.0,184.0,337.0,560.0,354.0,260.0,170.0,171.0,324.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดพะเยา,65.0,65.0,164.0,197.0,147.0,189.0,336.0,190.0,292.0,164.0,289.0,276.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดพังงา,39.0,39.0,86.0,62.0,53.0,53.0,66.0,74.0,74.0,55.0,89.0,48.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดพัทลุง,23.0,70.0,78.0,132.0,112.0,144.0,160.0,146.0,189.0,133.0,176.0,130.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดพิจิตร,55.0,61.0,216.0,168.0,98.0,109.0,100.0,95.0,93.0,106.0,128.0,173.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดพิษณุโลก,102.0,150.0,175.0,190.0,140.0,184.0,141.0,182.0,197.0,161.0,289.0,176.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดเพชรบุรี,37.0,44.0,133.0,140.0,147.0,131.0,132.0,118.0,115.0,71.0,163.0,107.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดเพชรบูรณ์,48.0,56.0,144.0,197.0,102.0,95.0,136.0,85.0,108.0,65.0,91.0,110.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดเพชรบูรณ์ สาขาหล่มสัก,48.0,32.0,49.0,70.0,35.0,50.0,43.0,50.0,58.0,33.0,89.0,42.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดแพร่,102.0,85.0,242.0,227.0,168.0,205.0,227.0,194.0,189.0,140.0,202.0,141.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดภูเก็ต,87.0,84.0,125.0,116.0,93.0,96.0,94.0,63.0,66.0,61.0,90.0,66.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดมหาสารคาม,85.0,123.0,191.0,117.0,211.0,353.0,309.0,281.0,319.0,313.0,260.0,343.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดมหาสารคาม สาขาพยัคฆภูมิพิสัย,4.0,4.0,23.0,25.0,69.0,129.0,101.0,72.0,78.0,78.0,70.0,86.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดมุกดาหาร,116.0,128.0,326.0,332.0,271.0,270.0,403.0,265.0,294.0,281.0,322.0,265.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดแม่ฮ่องสอน,29.0,46.0,50.0,58.0,56.0,50.0,52.0,44.0,50.0,36.0,64.0,53.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดยโสธร,50.0,41.0,212.0,461.0,384.0,353.0,532.0,283.0,363.0,175.0,183.0,185.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดยะลา,38.0,69.0,70.0,86.0,57.0,59.0,78.0,58.0,52.0,39.0,50.0,52.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดร้อยเอ็ด,136.0,154.0,371.0,762.0,519.0,635.0,925.0,536.0,433.0,413.0,604.0,476.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดระนอง,33.0,42.0,82.0,72.0,86.0,69.0,75.0,78.0,92.0,94.0,90.0,87.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดระยอง,24.0,63.0,154.0,125.0,140.0,91.0,74.0,75.0,82.0,65.0,88.0,64.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดราชบุรี,77.0,61.0,238.0,324.0,326.0,241.0,390.0,245.0,240.0,301.0,377.0,249.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดลพบุรี,57.0,59.0,108.0,148.0,120.0,123.0,271.0,166.0,235.0,201.0,158.0,163.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดลพบุรี สาขาชัยบาดาล,32.0,25.0,72.0,77.0,63.0,77.0,95.0,74.0,67.0,66.0,76.0,65.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดลำปาง,72.0,128.0,171.0,287.0,309.0,377.0,386.0,286.0,379.0,269.0,463.0,273.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดลำพูน,69.0,75.0,231.0,359.0,341.0,316.0,298.0,244.0,254.0,259.0,359.0,267.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดเลย,93.0,100.0,289.0,570.0,304.0,403.0,618.0,364.0,405.0,285.0,377.0,324.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดศรีสะเกษ,81.0,91.0,304.0,431.0,263.0,264.0,277.0,243.0,277.0,165.0,251.0,240.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดศรีสะเกษ สาขากันทรลักษ์,52.0,47.0,210.0,347.0,135.0,136.0,316.0,139.0,130.0,77.0,182.0,74.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสกลนคร,159.0,181.0,660.0,952.0,634.0,598.0,936.0,582.0,485.0,454.0,467.0,253.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสงขลา,44.0,44.0,209.0,311.0,328.0,255.0,566.0,339.0,442.0,306.0,337.0,367.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสงขลา สาขานาทวี,11.0,26.0,150.0,212.0,240.0,81.0,43.0,45.0,51.0,36.0,43.0,38.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสตูล,7.0,6.0,26.0,37.0,32.0,24.0,29.0,44.0,44.0,27.0,37.0,28.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสมุทรปราการ,255.0,456.0,702.0,463.0,428.0,566.0,550.0,423.0,652.0,615.0,459.0,512.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสมุทรสงคราม,6.0,12.0,29.0,64.0,45.0,49.0,65.0,41.0,14.0,11.0,24.0,18.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสมุทรสาคร,43.0,30.0,93.0,64.0,57.0,61.0,46.0,63.0,91.0,58.0,46.0,59.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสระแก้ว,19.0,29.0,106.0,204.0,125.0,156.0,209.0,129.0,182.0,175.0,180.0,129.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสระบุรี,91.0,123.0,137.0,199.0,154.0,236.0,216.0,120.0,150.0,85.0,353.0,271.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสิงห์บุรี,21.0,11.0,56.0,81.0,72.0,116.0,127.0,97.0,80.0,58.0,113.0,73.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสุโขทัย,39.0,35.0,90.0,61.0,45.0,52.0,118.0,57.0,145.0,93.0,149.0,205.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสุโขทัย สาขาสวรรคโลก,22.0,24.0,90.0,100.0,26.0,28.0,64.0,33.0,57.0,55.0,89.0,84.0,2565,,,,,,,,,,,,
สำนักงานคุมประพฤติจังหวัดสุพรรณบุรี,141.0,128.0,258.0,214.0,125.0,107.0,191.0,291.0,367.0,246.0,335.0,343.0,2565,,,,,,,,,,,,
